Camp Name,Description,Ages,Min Age,Max Age,Price/Week,Price Min,Price Max,Hours,Drop Off,Pick Up,Indoor/Outdoor,Food Provided,Extended Care,Extended Care Cost,Sibling Discount,Multi-Week Discount,Swim Requirement,Transport,Refund Policy,Contact Phone,Contact Email,Address,Website,2026 Reg Date,Reg Status,Summer Dates,Weeks Available,Staff Ratio,Scholarships Available,Certifications,Category,Notes,Last Updated
"American Sign Language Camp","Interactive ASL classes in small group settings teaching visual language communication skills.",8-12,8,12,$250,250,250,9am-12pm,9:00am,12:00pm,Indoor,Unknown,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",aslinsb.com,Rolling,Open,June-August,4+,Small group,Unknown,Unknown,Education,"Learning to communicate using visual language. Small class sizes.",2026-02-05
"Art Studio 4 Kids","Weekly themed art camps with clay sculpture, multimedia art, painting, printing, fiber arts, and upcycled materials.",6-12,6,12,$425,425,425,9:30am-2:30pm,9:30am,2:30pm,Indoor (studio),No - bring lunch,No,N/A,"5% each additional sibling",Unknown,No,No,Unknown,See website,See website,"Santa Barbara",artstudio4kids.com/summer-camps.html,Feb 1 2026,Announced Feb 1,June-August,8+,Unknown,Unknown,Unknown,Art,"Different theme each week. Sibling discount 5% for 2nd/3rd child.",2026-02-05
"Artistic Horizons Atelier","Full-day creative camp focused on pottery, clay, and sculpting with hands-on art projects.",11-17,11,17,$415,415,415,9am-2pm,9:00am,2:00pm,Indoor (studio),No - bring lunch,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Goleta",artistichorizonsatelier.com/summercamps-1,Rolling,Open,June-August,6+,Unknown,Unknown,Unknown,Art,"Pottery and sculpting focus. Teen-friendly age range.",2026-02-05
"Bizzy Girls Entrepreneur Program","Girls create product lines and start their own companies. Learn branding, marketing, and host pop-up store.",6-12,6,12,$345-495,345,495,9am-4pm,9:00am,4:00pm,Indoor,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",bizzygirls.com,April 10 2026,Opens Apr 10,June-August,4+,Unknown,Unknown,Unknown,STEM/Business,"Girls only. Keep earnings from pop-up store. Register via Parks & Rec.",2026-02-05
"Camp Ignite for Teens","Faith-focused half-day camp with creative arts, sports skills, and character development.",11-18,11,18,$130,130,130,9am-12pm,9:00am,12:00pm,Both,Unknown,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"1111 Butterfly Lane, Montecito",mcchurch.org/ignite-1,Rolling,Open,June-August,4+,Unknown,Unknown,Unknown,Faith-Based,"Montecito Covenant Church program. Creative arts and sports.",2026-02-05
"Camp Improv","Improv theatre games teaching presentation and public speaking skills through fun activities.",8-12,8,12,$450,450,450,9am-12:30pm,9:00am,12:30pm,Indoor,No - bring snack,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",improvclassonline.com,Rolling,Open,June-August,4+,Unknown,Unknown,Unknown,Theater,"Half-day program. Building confidence through improv.",2026-02-05
"Camp Millionaire","Financial literacy program teaching kids to make, manage, multiply and donate money wisely.",10-14,10,14,$370,370,370,9am-4pm,9:00am,4:00pm,Indoor,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 957-1024,See website,"Santa Barbara",campmillionaire.com,Rolling,Open,Summer,1,Unknown,Unknown,Unknown,STEM/Financial,"Game and activity-based financial education.",2026-02-05
"Camp New Heights","Healthy weight loss day camp with active lifestyle skills for ages 9-17. 2-6 week programs.",9-17,9,17,$1400-3600,1400,3600,8:30am-5pm,8:30am,5:00pm,Both,Unknown,Yes included,Included,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",campnewheights.com,November 2025,Open,June 21-Aug 1,2-6 weeks,Unknown,Unknown,Unknown,Health/Fitness,"Day and overnight options. Sustainable weight loss focus.",2026-02-05
"Camp Wheez (Sansum Clinic)","FREE week-long day camp for children with asthma. Learning and play with asthma management education.",6-12,6,12,Free,0,0,Varies,Varies,Varies,Both,Unknown,Unknown,Unknown,N/A,N/A,No,No,Unknown,See website,See website,"Santa Barbara",sansumclinic.org/health-wellness/camp-wheez,Spring 2026,Opens Spring,June-August,1,Unknown,N/A - free,Medical,Health/Medical,"FREE for children with asthma. Medical education focus.",2026-02-05
"Camp Wild Things","Nature-based place program for little ones ages 3-7. Explore water, mud, bugs at parks and beaches.",3-7,3,7,$275,275,275,9am-1pm,9:00am,1:00pm,Outdoor (various parks),No - bring lunch,No,N/A,Sibling discount,Unknown,No,No,Unknown,See website,See website,"Various parks in Goleta",sites.google.com/view/campwildthings,Feb 1 2026,Opens Feb 1,June 9-July 20,6,12:1,Unknown,Unknown,Nature/Outdoor,"Different location each week. Small group 12:1 ratio.",2026-02-05
"Chocolate Art Camp","Make chocolate bars and barks, stain and paint wooden boxes. Sweet creative experience.",9-15,9,15,Contact for price,200,350,Varies,Varies,Varies,Indoor,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",menchacachocolates.com,Rolling,Open,Summer,Unknown,Unknown,Unknown,Unknown,Art/Cooking,"Menchaca Chocolates location. Hands-on chocolate making.",2026-02-05
"Cliff Drive Care Center Summer Camp","Full-day camp with field trips and on-site activities including cooking and crafts.",5-10,5,10,$362,362,362,7:30am-5:30pm,7:30am,5:30pm,Both,Unknown,Yes - 7:30am-5:30pm,Included,Unknown,Unknown,No,No,Unknown,See website,See website,"Cliff Drive, Santa Barbara",cliffdrivecarecenter.org,Rolling,Open,June-August,8+,Unknown,Unknown,Unknown,Multi-Activity,"Extended hours 7:30am-5:30pm. Great for working parents.",2026-02-05
"Code Next Connect (Google)","FREE tech and AI education for high school students from Google. Programming, projects, and mentorship.",14-18,14,18,Free,0,0,Varies,Varies,Varies,Indoor,Unknown,Unknown,Unknown,N/A,N/A,No,No,Unknown,See website,See website,"Santa Barbara",codenext.withgoogle.com,Feb 2 2026,Opens Feb 2,Summer,Unknown,Unknown,N/A - free,Unknown,STEM/Tech,"FREE Google program. Cultivating next generation tech leaders.",2026-02-05
"Costa de Oro Girl Scout Day Camp","Girl-led outdoor camp encouraging friendship, leadership, and community involvement.",5-12,5,12,$200,200,200,9am-3:30pm,9:00am,3:30pm,Outdoor,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Goleta",costadeorosu.org,Rolling,Open,June-August,4+,Unknown,Unknown,Unknown,Multi-Activity,"Volunteer-run Girl Scout program. Learning by doing.",2026-02-05
"County of Santa Barbara Junior Lifeguards","Ocean rescue training at Hendry's Beach. Swimming, paddleboarding, CPR, first aid, and marine ecology.",6-17,6,17,$225-250,225,250,9:30am-2pm,9:30am,2:00pm,Outdoor (Hendry's Beach),No - bring lunch,No,N/A,$225 sibling/$250 regular,Unknown,Yes - swim test,No,Unknown,See website,See website,"Hendry's Beach, Santa Barbara",countyofsb.org/1031/Hendrys-Junior-Lifeguards,Feb 3 2026,Opens Feb 3,June-August,4+,Unknown,Unknown,Lifeguard training,Beach/Surf,"2-week sessions. County lifeguard instruction. Swim test required.",2026-02-05
"Crafters Library Summer Camp","Craft camps teaching crochet, embroidery, macrame, drawing, painting, and hand sewing. Ages 10+.",10-18,10,18,$400,400,400,9am-3pm,9:00am,3:00pm,Indoor (studio),No - bring lunch,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",thecrafterslibrary.com/summer-camp-2025,Early bird by Mar 31,Open,June 23-Aug 1,5,Unknown,Unknown,Unknown,Art/Crafts,"Early bird pricing $400. 5 one-week sessions available.",2026-02-05
"Dance Jams Summer Camps","Variety of dance experiences for all ages and skill levels. Fun and unique programming.",5-18,5,18,$285-900,285,900,9:30am-3pm,9:30am,3:00pm,Indoor (dance studio),No - bring lunch,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",thedancenetworksb.com,Rolling,Open,June-August,8+,Unknown,Unknown,Unknown,Dance,"$285/week or $900/2 weeks. Wide range of dance options.",2026-02-05
"Dos Pueblos Media Camp","Film and media camp. Storyboard, shoot, and edit videos using industry equipment.",8-13,8,13,$195-375,195,375,8am-4:30pm,8:00am,4:30pm,Indoor (DP campus),Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Dos Pueblos High School, Goleta",dpmediacamp.com,Rolling,Open,June-August,6+,Unknown,Unknown,Unknown,Media/Film,"Industry standard equipment. On Dos Pueblos High campus.",2026-02-05
"Dynamite Pickleball Youth","Pickleball clinic for young athletes. Hand-eye coordination, paddle skills, footwork, and game rules.",8-14,8,14,$126-137,126,137,9am-12pm,9:00am,12:00pm,Outdoor (courts),No - bring water,No,N/A,Unknown,Unknown,No,No,Unknown,(805) 364-0969,See website,"Santa Barbara",dynamitepickleball.com/youth,Rolling,Open,Year-round,Ongoing,Unknown,Unknown,Unknown,Sports,"Fun drills and rally activities. All skill levels welcome.",2026-02-05
"Elings Park Theater Camp","Theater programming at 230-acre Elings Park. Combines outdoor setting with creative arts.",7-12,7,12,$400,400,400,9am-3pm,9:00am,3:00pm,Both (Elings Park),Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 569-5611,dsouza@elingspark.org,"Elings Park, Santa Barbara",elingspark.org,Spring,Opens Spring,June-August,4+,Unknown,Yes - Campership Alliance,Unknown,Theater,"Outdoor theater experience at beautiful park setting.",2026-02-05
"Fusion Academy Summer","Personalized 1-to-1 and small-group learning. Catch up, get ahead, or try something new.",10-18,10,18,$675,675,675,Flexible,Flexible,Flexible,Both,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",fusionacademy.com/summer-programs,Rolling,Open,Summer,Flexible,1:1,Unknown,Unknown,Academic,"In-person, virtual, and hybrid options. Completely personalized.",2026-02-05
"Girls Inc. Gymnastics Camp","Formal gymnastics instruction on each event plus games and activities. Open to boys and girls.",5-12,5,12,$345,345,345,9am-3pm,9:00am,3:00pm,Indoor (gymnasium),No - bring lunch,"3-5pm available",$TBD extra,Unknown,Unknown,No,No,Unknown,See website,See website,"4973 Hollister Ave, Goleta",girlsincsb.org/programs/gymnastics,Mar 1 2026,Opens Mar 1,June-August,6+,Unknown,Unknown,USA Gymnastics,Sports/Gymnastics,"Aftercare 3-5pm available for additional fee. All skill levels.",2026-02-05
"Gold Coast Surf School","Beach camps at Miramar Beach with kayaking, paddle boarding, surfing, and arts & crafts.",4-17,4,17,$350-500,350,500,10am-5pm,10:00am,5:00pm,Outdoor (Miramar Beach),Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes - sprinter vans,Unknown,See website,See website,"Miramar Beach, Santa Barbara",goldcoastsurfschool.com/camps,Rolling,Open,Year-round,12+,Unknown,Unknown,Unknown,Beach/Surf,"Travel surf camps also available. Year-round programming.",2026-02-05
"Goleta School of Ballet Summer","Dance camp with ballet technique, musical theater, stretch, dance history, and performance.",7-18,7,18,$600-1875,600,1875,9:30am-2:30pm,9:30am,2:30pm,Indoor (dance studio),No - bring lunch,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Goleta",goletaschoolofballet.com/summer-programs-2026,January,Opens Jan,June-August,2-5 weeks,Unknown,Unknown,Unknown,Dance,"2-week camp $600. 5-week intensive $1875 (by audition).",2026-02-05
"Grant House Sewing Camp","Sewing classes and workshops teaching sewing skills for ages 8-17.",8-17,8,17,$250,250,250,9am-12pm or 1pm-4pm,Varies,Varies,Indoor (shop),No,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",granthousesewingmachines.com,Rolling,Open,Summer,8+,Unknown,Unknown,Unknown,Art/Crafts,"Half-day morning or afternoon sessions available.",2026-02-05
"Gustafson Dance Camps","State Street Ballet Academy camps for ages 3-16. Mini camps, themed camps, and junior intensives.",3-16,3,16,$285-450,285,450,9am-3:30pm,9:00am,3:30pm,Indoor (dance studio),No - bring lunch,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",ssb-academy.com,Jan 31 2026,Opens Jan 31,June-August,8+,Unknown,Unknown,Unknown,Dance,"Mini camps for young children. Junior intensive for serious students.",2026-02-05
"Hearts Landing Ranch Horseback","Equine-assisted summer camp at rescue horse ranch. Ages 6-10.",6-10,6,10,$425,425,425,Varies,Varies,Varies,Outdoor (ranch),Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",heartslandingranch.com,Jan 31 2026,Opens Jan 31,June-August,4+,Unknown,Unknown,Unknown,Animals/Horses,"Work with rescued horses. Therapeutic approach.",2026-02-05
"Inspire Dance Camps","Dance camps for ages 3-6. Fun movement and creative expression.",3-6,3,6,$182-320,182,320,9am-5:30pm,9:00am,5:30pm,Indoor (dance studio),No - bring lunch,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",inspiredancesb.com,Rolling,Open,June-August,6+,Unknown,Unknown,Unknown,Dance,"Long hours 9am-5:30pm. Great for working parents with young kids.",2026-02-05
"Irish Dance 805 Celtic Camps","Irish magic camp with dance lessons, music instruction, Celtic knotwork, calligraphy, and films.",4-18,4,18,$375,375,375,9am-3pm,9:00am,3:00pm,Indoor (studio),Unknown,Half-day 9am-12pm available,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"1624 Gillespie St, Santa Barbara",irishdance805.com,Rolling,Open,June-August,6,Unknown,Unknown,Unknown,Dance/Cultural,"Also Buellton location July 21-Aug 1. Half-day and drop-in options.",2026-02-05
"JAMS Rock Camp","Music camp to learn, explore, and appreciate music. Form bands and jam with others.",8-18,8,18,$295,295,295,1pm-5pm,1:00pm,5:00pm,Indoor (music studio),No - bring snack,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",jamsmusic.org,Feb 1 2026,Opens Feb 1,June-August,6+,Unknown,Unknown,Unknown,Music,"Afternoon camp. Record, practice, and perform.",2026-02-05
"Kathy's Music and Movement Camp","Music camps with piano, ukulele, drums, dance, Spanish, musical theatre, and storytelling.",3-10,3,10,$275-450,275,450,9am-3pm,9:00am,3:00pm,Both,Unknown,"Aftercare $15/hr",Per hour,10% sibling,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",kathysmusicmovement.com/camp,Rolling,Open,June-August,8+,8-10 campers,Unknown,Unknown,Music,"Small groups 8-10 kids. 10% sibling discount.",2026-02-05
"Lights Up Theatre Company","Fun improv training for young actors ages 12-18. Build performance skills and find community.",12-18,12,18,$250,250,250,2pm-4pm,2:00pm,4:00pm,Indoor,No,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",lightsupsb.com,Jan 15 2026,Opens Jan 15,June-August,6+,Unknown,Unknown,Unknown,Theater,"Afternoon program. All experience levels welcome.",2026-02-05
"Little Axolotl Club","Outdoor Spanish immersion with games, songs, stories, and art at parks and beaches around SB.",2-6,2,6,$325,325,325,8:30am-12:30pm,8:30am,12:30pm,Outdoor (various),Unknown,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Various parks, Santa Barbara",thelittleaxolotlclub.com,Rolling,Open,June-August,8+,Unknown,Unknown,Unknown,Languages/Nature,"Spanish immersion in outdoor settings. Native speaker instructors.",2026-02-05
"Math Camp at SB Family School","Math education camps for grades 3-10. Small group instruction at 1:5 ratio.",8-16,8,16,$360,360,360,8:30am-11:30am or 2pm-5pm,Varies,Varies,Indoor (home classroom),No,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Home in Goleta",sbfamilyschool.com/camps.html,Rolling,Open,June-August,4+,1:5,Unknown,Unknown,Academic,"$24/hour instruction. Morning or afternoon sessions.",2026-02-05
"Mr. Rob's Place","Summer adventure with beach visits, local attractions, and fun activities.",5-12,5,12,$325-350,325,350,9am-4:30pm,9:00am,4:30pm,Both,Unknown,Unknown,Unknown,"$325/week for 4+ weeks",Unknown,No,No,Unknown,See website,See website,"Santa Barbara",mrrobsplace.com,Rolling,Open,June-August,8+,Unknown,Unknown,Unknown,Multi-Activity,"Multi-week discount $325 vs $350 for 4+ weeks.",2026-02-05
"MyGym Santa Barbara","Energizing fitness games, themed fun, gymnastics, arts & crafts, and music. Non-competitive environment.",3-10,3,10,$250,250,250,9am-4pm,9:00am,4:00pm,Indoor (gym),Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Barbara",mygym.com/santabarbara/camp,Rolling,Open,Year-round,Ongoing,Unknown,Unknown,Unknown,Sports/Fitness,"Physical development focused. Fun and active programming.",2026-02-05
"Ocean Explorers Summer Camp","Beach camp at Padaro Beach. Surfing, boogie boarding, SUP, kayaking, sand activities, and tidepools.",5-14,5,14,$549,549,549,9am-3pm,9:00am,3:00pm,Outdoor (Padaro Beach),No - bring lunch,No,N/A,Unknown,Unknown,No,No,Unknown,See website,See website,"Padaro Beach, Santa Barbara",oceanexplorerscamp.com,Rolling,Open,June-August,8+,Unknown,Unknown,Unknown,Beach/Surf,"Keiki (ages 5-8) and Humpback (ages 9-14) sessions.",2026-02-05
